epoch,reward,kl_divergence,perplexity,sentiment_acc,distinct1,distinct2
1,0.17122836038470268,-0.21543040871620178,44.29282824198405,0.16666666666666666,0.6957671957671958,0.9838709677419355
2,0.17068154116471604,3.4636149803797402,44.509555180867515,0.8333333333333334,0.6545454545454545,0.9920844327176781
3,0.08740281189481415,8.455689152081808,70.71524111429851,0.6666666666666666,0.6960227272727273,0.9942196531791907
4,0.16136348992586133,5.250907023747762,76.7177308400472,0.6666666666666666,0.6149425287356322,0.9766081871345029
5,0.07945895443360007,0.7130058109760284,,0.6666666666666666,0.730909090909091,0.9888475836431226
6,0.17028961330652234,4.930435101191203,70.96084213256836,0.8333333333333334,0.6700251889168766,0.9923273657289002
7,0.0945841992894808,7.399699151515961,65.92144457499187,0.5,0.6397984886649875,0.9846547314578005
8,0.16328665800392628,7.850146293640137,67.98881657918294,0.5,0.6846590909090909,0.9942196531791907
9,0.39420245836178464,2.810350755850474,53.63794199625651,0.5,0.6133651551312649,0.9782082324455206
10,0.16995186234513918,-0.5837246775627136,63.961700757344566,0.5,0.6407766990291263,0.9729064039408867
11,0.31475819771488506,-0.13697755336761475,66.11384391784668,0.8333333333333334,0.708092485549133,0.9794117647058823
12,0.31882859766483307,-7.391505042711894,77.60366694132487,0.6666666666666666,0.6794871794871795,0.9869791666666666
13,0.08085744455456727,-12.630792617797852,56.244180870056155,1.0,0.7586206896551724,0.9955947136563876
14,0.20406641066074366,-9.977444171905518,56.333876609802246,0.75,0.7204724409448819,0.972
15,0.24746063724160194,-10.185234236717225,90.59038848876953,0.8,0.7935483870967742,0.9866666666666667
16,0.5328922808170319,-7.83512315750122,55.39778137207031,0.4,0.694980694980695,0.9724409448818898
17,0.1618015699088573,-13.14926700592041,523.4927513122559,0.6,0.6923076923076923,0.9830508474576272
18,0.15863579635818795,-11.541643540064493,46.490264892578125,0.8333333333333334,0.6677115987460815,0.9680511182108626
19,0.23791365822156266,-18.295035044352215,65.31400807698567,0.5,0.6514285714285715,0.9883720930232558
20,0.21718700336558475,-17.399291583469935,61.28041240147182,0.5714285714285714,0.6658823529411765,0.9832535885167464
